Name,Type,Latitude,Longitude
St. Joseph's Hospital,Hospital,10.0649895,76.626817
Dr. Noushad's ENT Hospital and Research Centre,Hospital,9.9869551,76.3167563
St. Philomina's Mission Hospital,Hospital,10.2105576,76.4482945
St. Joseph's Hospital,Hospital,10.0601909,76.3014141
Arogyalayam Hospital,Hospital,10.1111192,76.3503215
Parathuvayalil Hospital,Hospital,10.0641061,76.5204674
Anwar Memorial Hospital,Hospital,10.1083057,76.3528917
Specialists' Hospital,Hospital,9.9905344,76.2860182
Punarnava Ayurveda Hospital,Hospital,10.0441967,76.2977904
Susruta Eye Hospital,Hospital,10.0234595,76.3410974
Gyno Speciality Hospital,Hospital,10.1551857,76.3532773
Government Ayurveda Hospital,Hospital,10.0594005,76.2478738
Sarathy Ayurvedic Hospital,Hospital,10.1007404,76.3231815
Chaitanya Eye Hospital,Hospital,9.9599096,76.2903858
Fatima Hospital,Hospital,9.9014932,76.275571
"Aditya Eye Hospital, Ernakulam",Hospital,10.0340046,76.3331406
St. Thomas Hospital,Hospital,10.1864757,76.499345
Shajy Hospital,Hospital,10.1471931,76.2309853
Evershine Hospital,Hospital,10.0192427,76.3045053
"Ahalia Foundation Eye Hospital, Muvattupuzha",Hospital,9.9896838,76.5726739
കരുണ ആശുപത്രി,Hospital,9.9898553,76.5773519
Naivedya Ayurvedic Hospital and Research Centre,Hospital,9.9809006,76.313999
Alpha ENT Head and Neck Hospital,Hospital,10.0032624,76.2953791
Ayurvaid Hospital,Hospital,9.9634535,76.3010952
"Vimala Hospital, Ernakulam",Hospital,10.144605,76.4246723
Govt ayurveda hospital,Hospital,10.1366398,76.2322152
Ayyamppilly Government Hospital,Hospital,10.1209511,76.1990261
DDC,Hospital,9.9417653,76.3469619
St Thomas Clinic,Hospital,9.9000429,76.3965886
Mulanthuruthy Government Homoeo Dispensary,Hospital,9.9011502,76.3874512
MMC Hospital,Hospital,9.9010103,76.3843557
Chettiyamkunnel Homeo Home,Hospital,9.8730194,76.4850303
Veterinary Hospital,Hospital,9.8882827,76.5500144
"Familyy Health Centre, Thirumarady",Hospital,9.8885997,76.5510551
Amrutanjan Health Care Limited,Hospital,9.938384,76.3301431
Goverment Ayurveda Hospital Maradu,Hospital,9.9350137,76.3273095
c a hospital,Hospital,10.1291763,76.34441
Nature Life Hospital,Hospital,9.9544308,76.3276624
Jeevaniyam,Hospital,9.9883939,76.3091576
Jacob Hospital,Hospital,10.0495861,76.3173511
Rishi Ayurveda Hospital,Hospital,10.1038825,76.3502904
"dental college,thankalam",Hospital,10.0734498,76.6045268
Mar Baselios College Of Nursing,Hospital,10.0727802,76.6017423
Holycross Hospital,Hospital,10.02605,76.4487527
Government Ayurveda Hospital,Hospital,9.8631711,76.5088789
Appachy Vaidyans Ayurveda Hospital,Hospital,9.8298065,76.5462956
Govt. Homeo Dispensary,Hospital,9.8339194,76.519195
Primary Health Centre Pindimana,Hospital,10.1058976,76.6248141
skin and child clinic,Hospital,9.9233882,76.3901726
MCS Hospital,Hospital,9.9923266,76.5880031
primary health centre,Hospital,10.0982562,76.2058893
Kottakal Arya Vaidya Sala,Hospital,9.9333953,76.3879899
നെടുംചാലിൽ ട്രസ്റ്റ് ആശുപത്രി,Hospital,9.9887939,76.577658
V.M Hosiptal,Hospital,9.9966363,76.5958762
Government Hospital,Hospital,9.840361,76.4157952
Government Homoeo Hospital Muvattupuzha,Hospital,9.9881453,76.5808379
"Goverment Homeo Hospital, Kadalikkad",Hospital,9.9252626,76.6726718
Roshan Eye Care,Hospital,9.9517542,76.3458182
"Co-operative hospital,Koothattukulam",Hospital,9.8616687,76.5964085
St Mary's Hospital,Hospital,10.0076118,76.6802414
Llh Hospital,Hospital,10.0059162,76.7101526
"Thejus Ayurveda, Angamaly",Hospital,10.1786444,76.378584
KB Hospital,Hospital,10.1590075,76.3562037
Marian Hospital,Hospital,10.161893,76.3692349
"Primary Health Centre,Kanjoor",Hospital,10.1386844,76.4309998
Dr George's Homoeopathy,Hospital,10.2112648,76.3851431
Government Ayurveda Dispensary,Hospital,10.1428674,76.3085503
cimar mom's hospital,Hospital,10.0512687,76.2962954
cimar infertility hospital cheranalloor,Hospital,10.0517171,76.2968834
Bethseda mental health care center,Hospital,10.0837011,76.4660951
Government Hospital Chengamanad,Hospital,10.154961,76.3355533
Namasthe ayurvedic treatment,Hospital,10.1689749,76.3502474
mar baselios medical mission hospital,Hospital,10.0645781,76.6223951
St. Joseph's Hospital,Hospital,10.206019,76.319885
Rural Medical Mission Hospital,Hospital,10.1254188,76.3324083
Ayurguham Ayurvendha Hospital,Hospital,10.0806662,76.6193506
Janatha Hospital,Hospital,10.10672,76.350308
Kalarickal Ayurveda Hospital,Hospital,10.0685904,76.6212908
Government Homeo Hospital,Hospital,10.0029555,76.4582398
Nangelil Hospital,Hospital,10.115837,76.480546
NIMS Hospital,Hospital,10.0758077,76.5925286
Life Line Hospital,Hospital,10.0003954,76.709916
Ideal Mind Care Hospital,Hospital,10.0888995,76.4682171
Payattuthara Hospital,Hospital,10.0172719,76.4283668
Ayurgrace Ayurveda Hospital,Hospital,10.110355,76.480951
Tvj Eye Hospital,Hospital,10.068056,76.613934
Vempilly Ayurveda Hospital,Hospital,9.9449021,76.6955656
Life Care Hospital,Hospital,10.0280343,76.590152
Samwarthika Ayurveda Hospital,Hospital,9.9707114,76.5857635
Nirmala Medical Mission Hospital,Hospital,10.0037817,76.3976039
Badriya Holistic Hospital,Hospital,10.1123147,76.4611705
Kottakkal Hospital,Hospital,10.0638222,76.6208543
Sanjeevanam Ayurveda Hospital,Hospital,10.027905,76.388979
Lotus Eye Hospital,Hospital,9.9674326,76.3012127
Vathakat Orthopaedic Hospital,Hospital,9.986819,76.285434
Dr. Elzas Ayurveda Hospital,Hospital,9.965001,76.241904
B & B Memorial Hospital,Hospital,10.033897,76.3294623
Evershine Hospital,Hospital,10.0196125,76.3046442
Cortina Hospital,Hospital,9.827676,76.271747
Sentrum Hospital,Hospital,9.862033,76.594933
"Urban Primary Health Centre, Chalikkavattom",Hospital,9.9824178,76.3241707
Vypeen Hospital,Hospital,9.9997548,76.2350221
Dr. Hassan Ayurveda Brain and Spine Super Speciality Hospital,Hospital,9.978757,76.286691
Alife Ayurvedam,Hospital,10.0146072,76.2933848
Futureace Hospital,Hospital,10.0320122,76.304213
Appolo,Hospital,10.0632087,76.3187175
Ahalia Foundation Eye Hospital,Hospital,9.9932055,76.3146743
Focus Eye Hospital,Hospital,9.9689594,76.2932547
Navabharath Medical Hospital,Hospital,10.171629,76.178222
Santhigiri Ayurveda & Siddha Hospital,Hospital,9.9730963,76.2860427
St. Joseph's Hospital,Hospital,9.874805,76.265615
Palluruthy Government Hospital,Hospital,9.9172926,76.2792219
Metro Mind - Psychiatric Hospital,Hospital,10.054538,76.319607
Medall Healthcare,Hospital,9.9651653,76.3156016
Arc Fertility Hospitals,Hospital,10.0090884,76.3034525
Government Homeo dispensary Puthenvelikkara,Hospital,10.1730039,76.2755433
Sparsam Hospital,Hospital,10.2000693,76.5040551
Njarakkal Govt. Homoeo Dispensary,Hospital,10.0438538,76.217612
Government Homoeo Model Dispensary Edakochi,Hospital,9.9062493,76.2950036
Govt Homoeo Dispensary Okkal,Hospital,10.1549387,76.4438004
Government Homoeo Dispensary Kunnukara,Hospital,10.1561093,76.2948487
GOVERNMENT HOMOEO DISPENSARY CHITTATTUKARA,Hospital,10.1507992,76.2106834
Government Homoeo dispensary Nedumbassery,Hospital,10.1622239,76.3689623
Government Homoeo dispensary Nedumbassery,Hospital,10.1621967,76.3689857
govt homoeo dispensary vengola,Hospital,10.0953279,76.449084
Maria Hospital,Hospital,10.1126055,76.5160764
chambakkara primary health centre,Hospital,9.9542828,76.3289044
Ayur Vaidyanath,Hospital,10.0238379,76.3412942
Homeopathic Hospital,Hospital,9.9690891,76.4232657
clinic,Hospital,9.9827432,76.606085
mgm,Hospital,10.0283141,76.6584319
"Govt ayurvedic hospital,Kottappady",Hospital,10.1157989,76.5851063
Mitra Homoeopathy,Hospital,10.0435109,76.3232099
"Community Health Center, Ezhikkara",Hospital,10.095292,76.2342403
"Primary Health Center, Eloor",Hospital,10.0832761,76.2895024
Lifecare Hospital,Hospital,10.0323661,76.5846648
Primary Health Centre Kunnukara,Hospital,10.1566301,76.2989421
Family Health Centre Eroor,Hospital,9.9784164,76.3340708
Ayurveda hospital varapuzha,Hospital,10.0751413,76.2708801
Ayurvedha Dispensary,Hospital,10.1125591,76.2293049
Thripunithura Ramavarma Palace Dispensary,Hospital,9.9336989,76.3532833
Family Health Centre Chowara,Hospital,10.1362873,76.4036224
Primary Health Centre Palakuzha,Hospital,9.893069,76.4324751
Primary Health Centre Nedumbassery,Hospital,10.1621116,76.3783499
Family Health Centre Alangad,Hospital,10.1099055,76.2780318
Primary Health Centre Thrikakkara,Hospital,10.0222321,76.3166833
Primary Health Centre Manjalloor,Hospital,9.9423458,76.6674579
Cochin Cancer Research Centre,Hospital,10.0534587,76.3543132
"Community Health Centre, Varapuzha",Hospital,10.0566983,76.3018712
"Primary Health Centre, Mookkannor",Hospital,10.2395353,76.420921
"Primary Health Centre, Parakkadavu",Hospital,10.1950478,76.3476571
Primary Health Centre Pothanicad,Hospital,10.0118264,76.6859561
"Community Health Centre, Vengola",Hospital,10.0814849,76.4614122
Community health Centre Pallarimangalam,Hospital,10.0362757,76.6868871
Community Health Centre Varapetty,Hospital,10.0489598,76.6263478
Karunnya Pharmacy,Hospital,10.1155687,76.4815794
"Mahatma Gandhi Memorial Hospital & Lab, Kavalangad",Hospital,10.05244,76.7037076
Homeo dispensery,Hospital,10.1422509,76.3655286
Government Dispensary High Court Ernakulam,Hospital,10.0061874,76.2849195
Community Health Centre Pallipuram,Hospital,10.1677492,76.1861586
Family Health centre  Chittattukara,Hospital,10.1886944,76.2125866
Dona s homeopathiclinic,Hospital,9.8923814,76.4624717
Sub Center Kovikathumkadavu,Hospital,10.1623196,76.1872162
"East Block, Medical Trust Hospital",Hospital,9.9642981,76.288373
Ahalia Eye Hospital,Hospital,9.9933803,76.3144506
Nayarambalam Primary Health Center,Hospital,10.0572971,76.2181225
Susrutha Eye Hospital,Hospital,10.0558672,76.2151066
ESI Dispensary,Hospital,10.0479327,76.2202664
Community Health Centre Malayidamthuruthu,Hospital,10.0669091,76.410449
Community Health Centre Vengoor,Hospital,10.1412957,76.5494889
Jacobs Hospital,Hospital,9.9364863,76.2555454
C H C,Hospital,9.977367,76.4270432
Government Ayurveda Hospital,Hospital,10.1866522,76.4806448
Lakshmi Homeo Clinic,Hospital,10.1143369,76.3330517
Palliative care,Hospital,10.0189607,76.6275365
Sree Krishna Medicals,Hospital,10.1148171,76.3302021
KKJ Hospital pulikkikunnu,Hospital,9.8454385,76.5253738
Mattancherry Government Hospital,Hospital,9.9597832,76.2598371
Homeo Hospital,Hospital,10.1028148,76.2501271
K. Sreedharan Vaithyan Ayurveda Clinic,Hospital,10.1428947,76.4345071
St Joseph Hospital Manjummel,Hospital,10.0602094,76.3013527
"Primary Health Centre, Kadayirippu",Hospital,10.0041894,76.4565847
"SRS Eye Hospital,Bappuji Junction",Hospital,9.8542413,76.5934267
"Community Health Centre,Mangalathuthazham",Hospital,9.8587378,76.6031446
"Urban Primary Health Centre, Kuthapady",Hospital,9.9835441,76.3139575
"Urban Primary Health Centre, Ponnurunni",Hospital,9.979997,76.320338
"Urban Primary Health Centre, Kaloor",Hospital,9.9935425,76.2883583
"Urban Primary Health Centre, Kennadimukku",Hospital,10.0196448,76.3169704
"Urban primary Health Centre, Thammanam",Hospital,9.989758,76.3065874
"Urban Primary Health Cenre, Pandikudy",Hospital,9.9509907,76.2494468
"Urban Primary Health Centre, Chambakkara",Hospital,9.954131,76.3287701
"Urban Primary Health Centre, Moolamkuzhi",Hospital,9.9360022,76.2549759
"Government Medical College, Ernakulam",Hospital,10.0527471,76.3553898
"Urban Primary Health Centre, Mangattumukku",Hospital,9.9538492,76.2547957
Taluk Hospital,Hospital,10.1962148,76.3871471
Taluk Hospital Subcentre,Hospital,10.1821376,76.370421
Taluk Hospital Subcentre Champannoor,Hospital,10.1877599,76.3684411
Airport hospital,Hospital,10.159737,76.3879138
Newline,Hospital,9.8477655,76.4099553
Mattamana Hospital,Hospital,10.112682,76.5180771
Amrutha Ayurveda Hospital,Hospital,9.9465204,76.3462484
Ayush Health Care Center,Hospital,10.0488197,76.6140926
"Urban Primary Health Centre, Vattekunnam",Hospital,10.0402557,76.3105798
"Community Health Centre, Koothattukulam",Hospital,9.8643508,76.5962708
granth,Hospital,10.063749,76.2464597
Govt homeo dispensary,Hospital,10.0009723,76.2447972
Primary health centre vallarpadam,Hospital,10.0007893,76.245324
ESI Dispensary Angamaly,Hospital,10.1909855,76.3883808
AMJ Hospital,Hospital,9.9294302,76.2702904
"Primary Health Centre, Thammanam",Hospital,9.9896091,76.3067297
Cochin Corporation Homeo Dispensery,Hospital,9.9807774,76.3201955
Family health centre,Hospital,10.1033088,76.3900272
Public Health Centre,Hospital,9.9090061,76.5198065
Community Health center Ramamangalm,Hospital,9.9235373,76.52386
St Johns Hospital,Hospital,9.9195789,76.5215966
Government Hospital Child Vaccination Centre,Hospital,10.2028032,76.4227902
Renai Medicity,Hospital,10.0079415,76.3035506
Doctor Peter's Clinic,Hospital,9.962874,76.3566938
Dr. Tony Fernandez Eye Hospital,Hospital,10.1081984,76.3543799
"Oncology, Renal & Ophthalmology Block, Medical Trust Hospital",Hospital,9.9643974,76.2885344
Urban Community Health Centre,Hospital,9.9292264,76.3017447
Skinsecrets,Hospital,10.0169457,76.303057
Public Parking Ground,Hospital,10.0878142,76.390581
Flora Medicare & Dental Implant Center,Hospital,10.1496227,76.2382467
Lisie Cancer Centre,Hospital,9.9891832,76.2886971
25th Hour Clinic,Hospital,9.9455961,76.3485135
VPS Lakeshore Hospital,Hospital,9.91906495201733,76.31912363490632
"Amrita Hospital, Kochi",Hospital,10.03286916286996,76.2924328136433
Malankara Orthodox Syrian Church Medical College,Hospital,9.98308376493713,76.47530408351446
Government Medical College Ernakulam,Hospital,10.05327609362591,76.35603513679
Sangeetha Nursing Home,Hospital,9.957365225367036,76.25081838649162
MOSC Rural Health Training Centre,Hospital,10.009772896647869,76.52371257288037
Little Flower Hospital And Research Centre,Hospital,10.19090198958325,76.3897127843474
Lourdes Hospital,Hospital,10.00667708861934,76.27739447398294
Lisie Hospital,Hospital,9.988048860400031,76.28813773770565
Sreedhareeyam Ayurvedic Eye Hospital and Research Centre,Hospital,9.85989608236601,76.58452264877963
Samaritan Hospital,Hospital,10.043933396754008,76.39676198797866
ESIC Hospital,Hospital,10.07789099571588,76.3177076926514
P V S Memorial Hospital Ltd,Hospital,9.993454033915274,76.29133155455537
St George Hospital Vazhakulam hospital ground,Hospital,9.94437329511122,76.63870600928398
"Taluk Headquarters Hospital, North Paravur",Hospital,10.149592392528929,76.23261796574738
Nirmala Medical Centre,Hospital,9.982212156940744,76.58491328424657
"Women and Children Hospital, Mattancherry",Hospital,9.959362883281807,76.25995491551537
Kochi Port Trust Hospital,Hospital,9.960755460226007,76.26959621947653
Community Haelth Centre Narakkal,Hospital,10.043532373924425,76.22348838634535
Lakshmi hospital,Hospital,10.105052355639598,76.35812518770464
Karothukuzhi Hospital,Hospital,10.105282593680178,76.35095952623145
Donbosco Hospital,Hospital,10.146424646583618,76.22675025958509
KMK hospital,Hospital,10.1450309183301,76.22738270044375
Aster Medcity,Hospital,10.043611658192074,76.2776898961851
AIMS B Block,Hospital,10.032845130748788,76.2918692693372
Government  Ayurveda Hospital  Aluva,Hospital,10.123849333077285,76.34765738686649
Madona Hospital,Hospital,10.187940057703624,76.38208306356088
Childrens Hospital,Hospital,10.188514018948863,76.38783844821751
"Primary Health Centre, Mudakuzha",Hospital,10.141966525681154,76.50999328746303
"Primary Health Centre, Malayattor",Hospital,10.20436519636398,76.52790078384251
Community Health centre Vengoor,Hospital,10.149390399999998,76.54201085
KPM Eye Hospital,Hospital,9.971842008197113,76.2840684243926
Nettoor Medical Centre Homeo Clinic pvt,Hospital,9.924305999939351,76.31233741664352
GIMS Multi Speciality Hospita,Hospital,10.14558259927102,76.49093033637358
Family Health centre Udayamperoor,Hospital,9.90008574946769,76.36238179984036
"Primary Health Centre, kandakkadavu",Hospital,9.863030242483436,76.26836857686712
Primary Health Centre Panangad,Hospital,9.903338109390782,76.31826152069573
Biju's Ayurvedha Hospital,Hospital,10.03633648585239,76.40945548834789
Nirmalam Siddha and Ayurveda Clinic,Hospital,10.11397245433445,76.42896806688907
Thaqdees Hospital Limited,Hospital,10.070684874583614,76.39717297344104
INHS Sanjivani Hospital,Hospital,9.947030893522452,76.28251313532687
Welcare Hospital,Hospital,9.968006281513562,76.31546909443539
Rajagiri Hospital,Hospital,10.087779979245562,76.38817895932478
"ESI Dispensary , Fort Kochi",Hospital,9.957249679416568,76.24014912267405
Medical Trust Hospital,Hospital,10.115271530571782,76.20055740512892
Vijaya Kumara Menon Hospital,Hospital,9.95274315908642,76.34069391671085
Taluk Hospital Angamali,Hospital,10.196267444774628,76.38714336588124
Sarada Hospital,Hospital,10.068895100855274,76.2119855906831
Medical Trust Hospital,Hospital,9.964818176192855,76.28738313226124
Vasan Eye Care Hospital,Hospital,9.954709201946224,76.29286627186768
Chaithanya ENT Hospital,Hospital,9.96642268423265,76.29689928035661
Taluk Headquarters Hospital Kothamangalam,Hospital,10.066416293895436,76.6181354568304
Kristu Jayanti Hospital,Hospital,10.037205978118978,76.22495774769321
General Hospital Ernakulam,Hospital,9.972025238018512,76.28102540644551
Indira Gandhi Co-operative Hospital,Hospital,9.968767425777504,76.29861710523147
ESI Hospital,Hospital,9.99408453971544,76.28540522770797
Saraf Hospital,Hospital,9.96156038379504,76.2877823130814
Lakshmi Hospital,Hospital,9.966405246706769,76.28369007052532
Krishna Hospital,Hospital,9.975066162551524,76.28522404894362
"Primary Health Centre 24*7, Thuravoor",Hospital,10.203151739308735,76.42254380638073
Lakhmi Hospital Parking Ground,Hospital,10.105734447692766,76.35861186581384
Taluk Hospital Njarackal,Hospital,10.042344508755487,76.22260174434821
Madathil Ayurveda Hospital & Pain Management Clinic,Hospital,9.871670008741589,76.4903888289269
Family Health Centre Kottapady,Hospital,10.116733057962303,76.58758072446368
Vimala Hospital Kanjoor,Hospital,10.144412021018288,76.42470028920603
"Family Health Center,Vazhakulam",Hospital,10.113522249231607,76.41928676792546
Veterinary Hospital Piravom,Hospital,9.879038269852998,76.49554322642636
Mar Gregorious Dental College,Hospital,10.10310441621941,76.64461258623894
Ayurvedic Hospital,Hospital,10.126936652095434,76.47215212293912
Govt. Homeo Dispensary,Hospital,9.966260725453669,76.34673814624908
community health centre keechery,Hospital,9.840402807274756,76.41578945249717
Government hospital kadayiruppu,Hospital,10.004170806720271,76.45643789683689
"Goverment Homeo Hospital, Kadalikkad",Hospital,9.92525756638611,76.67266074118263
mcs,Hospital,9.9946858632616,76.58771917765681
Taluk Hospital Puthenvelikkara,Hospital,10.185224088181094,76.24596030395088
Holy Family Hospital And Dental Clinic,Hospital,10.16265395987618,76.43419342024733
Ayurvedic hospital Varappetty,Hospital,10.013649925262728,76.62611467971566
"Urban Primary Health Centre, Edakochi",Hospital,9.909002686965517,76.29464504777216
Government Homoeo Model Dispensary Edakochi,Hospital,9.906263804949598,76.29498059912731
Community Health Centre Pampakuda,Hospital,9.909041694246165,76.52000574023445
Govt.Community Health Center Kumbalanghi,Hospital,9.88049832845448,76.28700170705018
Community Health Centre Pallarimangalam,Hospital,10.028376726543735,76.68952387926606
"Primary Health Center, Poothrikka",Hospital,9.95447732245276,76.45101389043208
Samaritan heart institute,Hospital,10.043816130455378,76.39753568988043
Samaritan hospital,Hospital,10.043886081404262,76.39684421097313
"Primary Health Centre, Kadungalloor",Hospital,10.106139860108938,76.32205333986212
"Community Health Center,Edappally",Hospital,10.017764663691397,76.30271327974128
Shreyas Hospital,Hospital,10.090942903085104,76.20813315048825
James Eye Hospital,Hospital,10.0596259746706,76.6431235939827
ESI Dispensary,Hospital,10.115677889018125,76.47061012117072
"Family Health Centre, Karumaloor",Hospital,10.13055789330352,76.29266982216224
District TB Centre Karuvelipady,Hospital,9.941934099999996,76.2602654
The Salvation Army EB Hospital,Hospital,9.963034073036916,76.40916318486522
"St. John's hospital, South Paravoor",Hospital,9.87096871781269,76.3804506674982
Kims Hospital And Surgical Center,Hospital,10.041026786999751,76.3196509527306
"Govt Primary Health Centre, Puthuvype",Hospital,9.998042518972088,76.22177477575065
"Govt. Community Health Centre, Malipuram",Hospital,10.018966885580555,76.22502371401299
CA Hospital,Hospital,10.128985987615556,76.34453876471605
"Primary Health Centre, Okkal",Hospital,10.165483278085844,76.4666967314402
Taluk Hospital Palluruthy,Hospital,9.911404964280246,76.27373898634876
Primary Health Centre Elanji,Hospital,9.829635799466688,76.54462995891912
"Primary Health Centre, Pallisery",Hospital,10.274519227752483,76.41281705820725
Taluk Headquarters Hospital Tripunithura,Hospital,9.94247771096718,76.34629268401605
"Primary Health Centre, Pattimattom",Hospital,10.023957887212564,76.44475734418705
"Family Health Center, Paipra",Hospital,10.033433091462916,76.55095186501123
Nayarambalam Government Homoeo Dispensary,Hospital,10.0713226,76.2229224
"St: George Hospital, Muvattupuzha",Hospital,9.98069149375551,76.57973206517707
Government General Hospital,Hospital,9.97902489595808,76.58002972916816
Ambalamugal Medical Aid Society (AMAS),Hospital,9.974116621685676,76.38166609756892
Government Ayurveda Hospital,Hospital,9.943784762708733,76.34907311732596
"Government Ayurvedic Hospital, Cheruvattoor",Hospital,10.056710573593536,76.57352884949209
MAGJ Hospital Ground,Hospital,10.220815990875368,76.41355283371944
Roshan Eye Care,Hospital,9.951749902041708,76.34577757473636
"A P Varkey Memorial Mission  Hospital, Arakunnam",Hospital,9.885932119975108,76.4471165851519
"Govt. Ayurveda Hospital , Pallipuram",Hospital,10.162638930160528,76.18750721289031
"Family Health Centre, Maneed",Hospital,9.904584245257368,76.4575259125037
Saint Mary's Hospital,Hospital,10.007566626747606,76.68030968574665
"Primary Health Centre,Pothanicad",Hospital,10.003701484032725,76.68778132066495
Taluk Headquarters Maharajas Hospital Karuvelippad,Hospital,9.943286286368869,76.26057008263767
Taluk Headquarters Hospital Perumbavoor,Hospital,10.11598847663829,76.48138651542511
Taluk Head Quarters Hospital Fort Kochi,Hospital,9.965675891281526,76.24569050657162
District Hospital Aluva,Hospital,10.105333731034516,76.35510628391377
"Community Health Centre, Neriamangalam",Hospital,10.052462668191597,76.77266115931721
Government Hospital,Hospital,10.155657934628712,76.29516345485932
Sree Narayana Institute of Medical Sciences,Hospital,10.15697782905515,76.28227083773238
"Family Health Centre, Nayarambalam",Hospital,10.068450867072798,76.19845436205547
Varappetty CHC,Hospital,10.018934059345789,76.62750191576865
Primary Health Centre Ayyampilly,Hospital,10.126795776028546,76.19768484102363
Community Health Centre Vadavucode,Hospital,9.977480003047578,76.42698524278357
"Jmp Medical Centre, Piravom",Hospital,9.882289132886742,76.48850720241713
Divine Hospital,Hospital,10.171195748467971,76.39806503853343
Snehabhavan,Hospital,10.08638990210903,76.48071966517338
saint basil hospital valayanchirangara,Hospital,10.066978658086136,76.49385448637526
Koinonia Mission Hospital,Hospital,10.091221949614251,76.47610413964463
Family Health Centre Cheranallore,Hospital,10.0600459,76.28928025
"Family Health Centre, Kakkanad",Hospital,10.019213881417173,76.35006423695299
Primary Health Centre Choornikkara,Hospital,10.096215183755218,76.35257552888248
Pius Gardens Hospital,Hospital,10.10207224317199,76.60756207563688
Well care Orthopaedic specialty and general hospital,Hospital,10.100006679360831,76.65208518917471
M.V. Joseph Memorial Hospital,Hospital,10.111215976689358,76.48155879301969
